PSET1,PSET2,PSET3,PSET4,PSET5,PSET6,QUIZ1,QUIZ2,FINAL,PSET_ZEROS,QUIZ_ZEROS,FALL,MALE,YEAR,COURSE_6,COURSE_8,COURSE_18,GRADE
0.739137931,0.637586207,-0.617844828,-1.29362069,-4.15,0.595689655,1.205172417,2.690804598,-0.348275865,1,0,0,1,2,0,0,0,2
-0.210862069,0.187586207,0.032155172,-0.69362069,-4.15,-2.904310345,0.371839077,1.357471268,2.985057475,1,0,0,1,2,1,0,0,2
-0.260862069,0.037586207,-0.367844828,-0.39362069,-0.15,-3.904310345,-0.961494253,0.690804598,1.651724135,1,0,0,1,3,0,0,0,2
-4.260862069,-1.662413793,0.182155172,-0.19362069,-0.2,-1.904310345,-0.128160923,0.024137928,4.151724135,1,0,0,1,5,0,0,0,2
-4.260862069,0.737586207,0.382155172,0.50637931,0.05,0.895689655,-2.294827583,-1.475862072,1.151724135,1,0,0,1,2,1,0,0,2
-0.310862069,-4.212413793,0.532155172,0.45637931,0.6,0.445689655,-0.461494253,-1.475862072,-3.848275865,1,0,0,1,2,1,0,0,2
-4.260862069,0.387586207,0.482155172,0.10637931,0.35,-1.204310345,-1.961494253,-2.142528732,-1.348275865,1,0,0,1,2,1,0,0,2
0.089137931,-0.012413793,-1.867844828,-0.19362069,0.35,-3.904310345,-0.128160923,-3.309195402,-2.014942525,1,0,0,1,2,1,0,0,2
0.539137931,-4.212413793,-1.767844828,-0.69362069,-1.6,0.145689655,-3.461494253,0.024137928,-1.514942525,1,0,0,0,3,0,0,0,1
-1.010862069,0.387586207,0.332155172,-0.69362069,0.15,-3.904310345,-1.461494253,-0.642528732,-6.848275865,1,0,0,0,3,1,0,0,1
-0.510862069,-0.312413793,-0.517844828,-4.24362069,-0.4,-1.904310345,-1.294827583,-3.142528732,-3.848275865,1,0,0,1,4,0,1,0,1
0.139137931,-2.512413793,-1.767844828,-1.59362069,-3.1,-3.904310345,-2.294827583,-2.809195402,-0.681609195,1,0,0,0,2,0,0,1,1
0.189137931,-0.212413793,-0.517844828,-1.04362069,-1.45,-3.904310345,-4.294827586,-4.809195402,-9.348275865,1,0,0,1,2,1,0,0,1
-2.460862069,-2.162413793,-3.517844828,-0.54362069,-4.15,-3.604310345,-2.294827583,-3.975862069,-5.848275865,1,0,0,1,4,1,0,0,1
-2.360862069,-1.562413793,-2.967844828,-3.24362069,-4,-3.904310345,-2.961494253,-6.142528735,-7.348275865,1,0,0,1,2,1,0,0,1
-1.070212766,0.723670213,-0.585638298,-0.261170213,-0.411702128,0.046276596,-0.835106382,-14.98404255,-3.327127667,0,1,1,1,3,1,0,0,1
-0.070212766,-2.226329787,-0.435638298,-0.861170213,0.038297872,0.446276596,-0.668439722,-14.98404255,-7.160461007,0,1,1,1,3,1,0,0,1
0.196794872,0.499358974,0.082692308,0.222115385,0.936538462,0.591025641,-12.51709402,-6.615384615,-3.766025638,0,1,0,1,2,1,0,0,1
-0.260862069,-0.012413793,-0.467844828,-0.04362069,-0.2,-0.804310345,-4.294827586,-13.8091954,-5.014942525,0,1,0,1,2,1,0,0,1
0.739137931,0.437586207,0.532155172,0.25637931,0.55,-0.154310345,-4.62816092,-1.975862072,-21.6816092,0,1,0,0,2,1,0,0,1
-0.810862069,-2.912413793,-0.017844828,-1.69362069,-0.6,-1.504310345,-2.961494253,-13.8091954,-4.181609195,0,1,0,0,4,0,0,0,1
0.529787234,0.923670213,1.114361702,0.588829787,0.838297872,0.796276596,5.998226958,3.849290786,9.256205683,0,0,1,1,3,0,0,1,3
0.629787234,1.023670213,0.664361702,0.638829787,0.838297872,0.946276596,4.664893618,4.015957446,9.506205673,0,0,1,1,2,1,0,1,3
0.429787234,0.973670213,1.114361702,0.888829787,0.838297872,0.846276596,3.831560278,3.849290786,10.00620568,0,0,1,1,2,1,0,1,3
0.629787234,0.823670213,0.614361702,0.488829787,0.638297872,0.446276596,6.664893618,3.515957446,8.339539003,0,0,1,1,2,1,0,1,3
0.529787234,0.623670213,0.764361702,0.638829787,0.738297872,0.146276596,4.498226958,3.682624106,9.339538993,0,0,1,1,2,1,0,1,3
0.179787234,0.923670213,1.064361702,0.738829787,0.588297872,0.846276596,3.331560278,3.515957446,9.589539013,0,0,1,1,2,1,0,0,3
0.629787234,0.523670213,0.764361702,0.638829787,0.788297872,0.396276596,4.998226958,2.682624106,7.006205683,0,0,1,1,2,1,0,1,3
